roadName,tractSource,tractNumberParsed,tractAcceptanceDate,serviceArea,limits,objectId,keyNum,gisMiles,status,isMultiDateTract,sourceId,doNotClaim
DOWNING STREET,TR 16236,16236,2004-11-09,LADERA RANCH,PARLIAMENT PL. TO 188' SW/O TUDOR WAY,2323,77996,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
KINGSWAY DRIVE,TR 16236,16236,2004-11-09,LADERA RANCH,DOWNING ST. TO REGENTS PARK,2656,126185,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
PARLIAMENT PLACE,TR 16236,16236,2004-11-09,LADERA RANCH,DOWNING ST. TO END,3020,184600,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
REGENTS PARK,TR 16236,16236,2004-11-09,LADERA RANCH,40' W/O CHARDONNAY DR. TO KINGSWAY DR.,3105,198400,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TUDOR WAY,TR 16236,16236,2004-11-09,LADERA RANCH,DOWNING ST. TO REGENTS PARK,3408,237196,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CHARDONNAY DRIVE,TR 16237,16237,2006-08-22,LADERA RANCH,194' S/O ROANOKE DR. TO DOWNING ST.,2161,58200,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DOWNING STREET,TR 16237,16237,2006-08-22,LADERA RANCH,46' NW/ CHARDONNAY DR. TO 45' NE/O VINEYARD DR.,2322,77950,0.150000006,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SAUVIGNON DRIVE,TR 16237,16237,2006-08-22,LADERA RANCH,CHARDONNAY DR. TO VINEYARD DR.,3208,211925,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
VINEYARD DRIVE,TR 16237,16237,2006-08-22,LADERA RANCH,DOWNING LN. TO 71' S/O CALDWELL LN.,3438,238200,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CALDWELL LANE,TR 16238,16238,2005-11-08,LADERA RANCH,FALKNER DR. TO 46' E/O VINEYARD DR.,2095,42930,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DOWNING STREET,TR 16238,16238,2005-11-08,LADERA RANCH,216' W/O MARKHAM LN. TO FALKNER DR.,3585,77995,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FALKNER DRIVE,TR 16238,16238,2005-11-08,LADERA RANCH,DOWNING ST. TO END,2406,92380,0.159999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MARKHAM LANE,TR 16238,16238,2005-11-08,LADERA RANCH,DOWNING ST. TO CALDWELL LN.,2819,153050,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BAINBRIDGE AVENUE,TR 16240,16240,2004-10-19,LADERA RANCH,MARSTON LN. TO END,1950,21950,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MARSTON LANE,TR 16240,16240,2004-10-19,LADERA RANCH,BAINBRIDGE AVE. TO WHIDBEY DR.,2822,153175,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ROYCROFT COURT,TR 16240,16240,2004-10-19,LADERA RANCH,BAINBRIDGE AVE. TO END,3143,204850,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SYLVANOAK WAY,TR 16240,16240,2004-10-19,LADERA RANCH,46' SE/O FALABELLA DR. TO MARSTON LN.,3347,231300,0.0199999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WHIDBEY DRIVE,TR 16240,16240,2004-10-19,LADERA RANCH,MARSTON LN. TO BAINBRIDGE AVE.,3491,238790,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ARDENNES DRIVE,TR 16241,16241,2006-08-22,LADERA RANCH,FALABELLA DR. TO HANOVERIAN WY.,1926,17800,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FALABELLA DRIVE,TR 16241,16241,2006-08-22,LADERA RANCH,107'  W/O HANOVERIAN WY. TO ARDENNES DR.,2405,92378,0.140000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
HANOVERIAN WAY,TR 16241,16241,2006-08-22,LADERA RANCH,FALABELLA DR. TO ARDENNES DR.,2509,107500,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BAUDIN CIRCLE,TR 16242,16242,2005-05-17,LADERA RANCH,DE LEON LN. TO END,1971,25650,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DE LEON LANE,TR 16242,16242,2005-05-17,LADERA RANCH,44' W/O FALABELLA DR. TO END,2289,72900,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SAINT BRIDE WAY,TR 16243,16243,2004-11-09,LADERA RANCH,44' W/O CLYDESDALE DR. TO ST. JUST AVE.,3158,206270,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SAINT GILES COURT,TR 16243,16243,2004-11-09,LADERA RANCH,ST. IVES WAY TO END,3160,206300,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SAINT IVES WAY,TR 16243,16243,2004-11-09,LADERA RANCH,58' SW/O DORRANCE DR. TO ST. JUST AVE.,3161,206305,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SAINT JUST AVENUE,TR 16243,16243,2004-11-09,LADERA RANCH,ST. IVES WY.  N AND S TO ENDS,3164,206340,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SAINT STEVEN COURT,TR 16243,16243,2004-11-09,LADERA RANCH,ST. BRIDE WY. TO END,3167,206390,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ABYSSINIAN WAY,TR 16244,16244,2006-09-12,LADERA RANCH,45' NE/O TO 48' SE/O CLYDESDALE DR.,1850,175,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
COUSTEAU LANE,TR 16245,16245,2005-05-17,LADERA RANCH,39' W/O CLYDESDALE DR. TO END,2231,66350,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LA SALLE LANE,TR 16245,16245,2005-05-17,LADERA RANCH,COUSTEAU LN. N'LY AND S'LY TO ENDS,2682,132000,0.209999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
PAPETTE CIRCLE,TR 16245,16245,2005-05-17,LADERA RANCH,COUSTEAU LN. TO END,3016,183995,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BRYANT COURT,TR 16246,16246,2005-11-08,LADERA RANCH,CLYDESDALE DR. TO END,2074,40450,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CLYDESDALE DRIVE,TR 16246,16246,2005-11-08,LADERA RANCH,69' N/O BRYANT CT. TO END(CDS),2207,62855,0.180000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CURTIS LANE,TR 16246,16246,2005-11-08,LADERA RANCH,CLYDESDALE DR. TO HALLCREST DR.,2268,69669,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
HALLCREST DRIVE,TR 16246,16246,2005-11-08,LADERA RANCH,CURTIS LN. TO END,2504,107200,0.200000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TALBOTT COURT,TR 16246,16246,2005-11-08,LADERA RANCH,CLYDESDALE DR. TO END,3659,231900,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CERNER COURT,TR 16247,16247,2005-04-12,LADERA RANCH,ELLISTON DR. TO N AND S TO ENDS,2142,56000,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ELLISTON DRIVE,TR 16247,16247,2005-04-12,LADERA RANCH,UNIVERSITY AVE. TO CERNER CT.,2355,86250,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
UNIVERSITY AVENUE,TR 16247,16247,2005-04-12,LADERA RANCH,45' SE/O ETON PL. TO ELLISTON DR.,3411,237335,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
HANCEFORD WAY,TR 16250,16250,2005-04-12,LADERA RANCH,LONGFIELD LN. TO UNIVERSITY AVE.,2508,107480,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LONGFIELD LANE,TR 16250,16250,2005-04-12,LADERA RANCH,43' S/O HANCEFORD WY. TO MAITLAND RD.,2765,143794,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MAITLAND ROAD,TR 16250,16250,2005-04-12,LADERA RANCH,LONGFIELD LN. TO UNIVERSITY AVE.,2804,149400,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
UNIVERSITY AVENUE,TR 16250,16250,2005-04-12,LADERA RANCH,46' N  TO 413' N/O CREIGHTON PL.,3581,237345,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ETHEREAL STREET,TR 16271,16271,2007-01-23,LADERA RANCH,181' N'LY/O NARROW CANYON RD. TO 179' S/O SIENNA PKWY.,2382,88850,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
NARROW CANYON ROAD,TR 16271,16271,2007-01-23,LADERA RANCH,292' S/O CLARIN ST. TO ETHEREAL ST.,2902,165525,0.389999986,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
AURA LANE,TR 16341,16341,2007-03-27,LADERA RANCH,TRIAD LN. TO 924 ' SW,1944,20380,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CLARIN STREET,TR 16341,16341,2007-03-27,LADERA RANCH,NARROW CANYON RD. TO 694' W,2193,61800,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ETHEREAL STREET,TR 16341,16341,2007-03-27,LADERA RANCH,179' S/O SIENNA PKWY. TO 835' N/O SIENNA PKWY.,2380,88825,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ETON PLACE,TR 16341,16341,2007-03-27,LADERA RANCH,TRIAD LN. TO 84' SW/O  ONEILL DR.,2384,88880,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
GAIA LANE,TR 16341,16341,2007-03-27,LADERA RANCH,NARROW CANYON RD. TO TRIAD LN.,2448,99700,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
NARROW CANYON ROAD,TR 16341,16341,2007-03-27,LADERA RANCH,46' SW/O ONEILL DR. TO 292' S/O CLARIN ST.,2901,165500,0.689999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY,TR 16341,16341,2007-03-27,LADERA RANCH,733'  E TO ETHEREAL ST.,3250,217698,0.140000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SOL STREET,TR 16341,16341,2007-03-27,LADERA RANCH,ETHEREAL ST. TO 21' NE/O LODEN PASS,3297,221980,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TRIAD LANE,TR 16341,16341,2007-03-27,LADERA RANCH,125' NW/O VALMONT WAY TO 159' NW/O GAIA LN.,3399,237075,0.159999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FALLOW LANE,TR 16342,16342,2007-09-25,LADERA RANCH,FOLIATE WAY TO END,2407,92385,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FOLIATE WAY,TR 16342,16342,2007-09-25,LADERA RANCH,52' N/O AURA LN. TO END,2427,96100,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FOLIATE WAY,TR 16342,16342,2007-09-25,LADERA RANCH,51' SW/O AURA LN. TO END,2428,96200,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
GARDENIA STREET,TR 16346,16346,2007-10-16,LADERA RANCH,SNOW BUSH ST. TO END,2450,99900,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
GREVILLEA COURT,TR 16346,16346,2007-10-16,LADERA RANCH,SNOW BUSH ST. TO END,2496,105900,0.0199999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SNOW BUSH STREET,TR 16346,16346,2007-10-16,LADERA RANCH,41' N/O CLARIN ST. TO END,3295,221990,0.159999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LODEN PASS,TR 16349,16349,2007-01-23,LADERA RANCH,41' SE/O SOL ST. TO MOCHA LN.,2762,143500,0.159999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MOCHA LANE,TR 16349,16349,2007-01-23,LADERA RANCH,LODEN PASS TO END,2878,160380,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
PATINA LANE,TR 16349,16349,2007-01-23,LADERA RANCH,LODEN PASS TO END,3022,185210,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SUGARCANE LANE,TR 16349,16349,2007-01-23,LADERA RANCH,LODEN PASS TO END,3331,228415,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TAFFETA LANE,TR 16349,16349,2007-01-23,LADERA RANCH,LODEN PASS TO END,3350,231600,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CALLIANDRA STREET,TR 16351,16351,2007-07-31,LADERA RANCH,SNOW BUSH ST. TO END,3595,44500,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SEA GRAPE ROAD,TR 16351,16351,2007-07-31,LADERA RANCH,SNOW BUSH STREET TO END,3214,212500,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SNOW BUSH STREET,TR 16351,16351,2007-07-31,LADERA RANCH,41' SE/O CLARIN ST. TO END,3296,221995,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
COPIOUS LANE,TR 16354,16354,2007-05-15,LADERA RANCH,EPONA WAY TO END,2216,64888,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
EPONA WAY,TR 16354,16354,2007-05-15,LADERA RANCH,41' SW/O NARROW CANYON RD. TO END,2366,87470,0.25,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
GALORA LANE,TR 16354,16354,2007-05-15,LADERA RANCH,EPONA WAY TO END,2449,99790,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ILLUMINATA LANE,TR 16354,16354,2007-05-15,LADERA RANCH,EPONA WAY TO END,2594,117050,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CITRUS LANE,TR 16355,16355,2006-09-12,LADERA RANCH,ETHEREAL ST. TO END,2192,61760,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ETHEREAL STREET,TR 16355,16355,2006-09-12,LADERA RANCH,CITRUS LN. TO 181' N'LY/O MELODY LN.,2381,88835,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ETHEREAL STREET (W1/2),TR 16355,16355,2006-09-12,LADERA RANCH,181' N'LY TO 208' N'LY/O MELODY LN.,2383,88840,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LULLABY CIRCLE,TR 16355,16355,2006-09-12,LADERA RANCH,MELODY LN. E AND W TO ENDS,2779,145950,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MELODY LANE,TR 16355,16355,2006-09-12,LADERA RANCH,ETHEREAL ST. TO END,2858,157100,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TANGO LANE,TR 16355,16355,2006-09-12,LADERA RANCH,ETHEREAL ST. TO END,3354,232600,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
