addressConstraint,association,confidence,limitations,neighborhood,sourceIds,sourceLocator,statementClass,streetLabel,streetNameNormalized,streetNeighborhoodId,village
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Atherton Glen,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KILBANNEN COURT,KILBANNEN CT,LH-STREET-XWALK-0240,Echo Ridge
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tattershall 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KINGSWAY DRIVE,KINGSWAY DR,LH-STREET-XWALK-0241,Flintridge
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Shady Lane,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KYLE COURT,KYLE CT,LH-STREET-XWALK-0242,Oak Knoll
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Covenant Hills,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LA RIATA ROAD,LA RIATA RD,LH-STREET-XWALK-0243,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Trail Ridge 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LA SALLE LANE,LA SALLE LN,LH-STREET-XWALK-0244,Echo Ridge
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sterling Glen 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LANESBORO ROAD,LANESBORO RD,LH-STREET-XWALK-0245,Avendale
1-25,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sterling Glen 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LANGFORD LANE (1-25),LANGFORD LN,LH-STREET-XWALK-0246,Avendale
32-53,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sumners Way 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LANGFORD LANE (32-53),LANGFORD LN,LH-STREET-XWALK-0247,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sycamore Grove,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LANSDALE COURT,LANSDALE CT,LH-STREET-XWALK-0248,Oak Knoll
1-48,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Whispering Creek 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LAURELHURST DRIVE (1-48),LAURELHURST DR,LH-STREET-XWALK-0249,Oak Knoll
51-91,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Prescott 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LAURELHURST DRIVE (51-91),LAURELHURST DR,LH-STREET-XWALK-0250,Oak Knoll
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LEFFINGTON PLACE,LEFFINGTON PL,LH-STREET-XWALK-0251,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Amarante 2 / Bellataire 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LEMON PEEL ROAD,LEMON PEEL RD,LH-STREET-XWALK-0252,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Alisal,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LENNOX COURT,LENNOX CT,LH-STREET-XWALK-0253,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Clifton Heights 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LEWISTON COURT,LEWISTON CT,LH-STREET-XWALK-0254,Flintridge
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LINDENWOOD FARM,LINDENWOOD FARM,LH-STREET-XWALK-0255,Wycliffe
"1-62 all, 64-84 even, 85-112 all",FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Westcott 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,"LIVINGSTON PL (1-62 all, 64-84 even, 85-112 all)",LIVINGSTON PL,LH-STREET-XWALK-0256,Bridgepark
63-83 odd,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Westcott 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LIVINGSTON PL (63-83 odd),LIVINGSTON PL,LH-STREET-XWALK-0257,Bridgepark
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Claiborne 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LODEN PASS,LODEN PASS,LH-STREET-XWALK-0258,Terramor
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Fairfield 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LONE OAK CIRCLE,LONE OAK CIR,LH-STREET-XWALK-0259,Oak Knoll
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chesapeake 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LONGFIELD LANE,LONGFIELD LN,LH-STREET-XWALK-0260,Wycliffe
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Mosaic 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LULLABY CIRCLE,LULLABY CIR,LH-STREET-XWALK-0261,Wycliffe
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LUNA COURT,LUNA CT,LH-STREET-XWALK-0262,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,LYNDE STREET,LYNDE ST,LH-STREET-XWALK-0263,Wycliffe
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Willow Bend 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAGNOLIA DRIVE,MAGNOLIA DR,LH-STREET-XWALK-0264,Avendale
122-148,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Gables 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAIN STREET (122-148),MAIN ST,LH-STREET-XWALK-0265,Flintridge
2-30,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Belmont Hill 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAIN STREET (2-30),MAIN ST,LH-STREET-XWALK-0266,Flintridge
88-104,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Gables 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAIN STREET (88-104),MAIN ST,LH-STREET-XWALK-0267,Flintridge
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chesapeake 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAITLAND ROAD,MAITLAND RD,LH-STREET-XWALK-0268,Wycliffe
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Valmont,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MANSART COURT,MANSART CT,LH-STREET-XWALK-0269,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAPLE RUN FARM,MAPLE RUN FARM,LH-STREET-XWALK-0270,Wycliffe
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sansovino,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MARCILLA,MARCILLA,LH-STREET-XWALK-0271,Bridgepark
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Capistrano,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAREMMA LANE,MAREMMA LN,LH-STREET-XWALK-0272,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tamarind 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MARKHAM LANE,MARKHAM LN,LH-STREET-XWALK-0273,Flintridge
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sylvan Oaks,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MARSTON LANE,MARSTON LN,LH-STREET-XWALK-0274,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sansovino,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MARTINO,MARTINO,LH-STREET-XWALK-0275,Bridgepark
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MASON LANE,MASON LN,LH-STREET-XWALK-0276,Oak Knoll
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Maplewood 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAYBECK,MAYBECK,LH-STREET-XWALK-0277,Oak Knoll
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Fairfield 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAYVILLE PLACE,MAYVILLE PL,LH-STREET-XWALK-0278,Oak Knoll
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sycamore Grove,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MAYWOOD DRIVE,MAYWOOD DR,LH-STREET-XWALK-0279,Oak Knoll
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Mosaic 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MELODY LANE,MELODY LN,LH-STREET-XWALK-0280,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MENLO STREET,MENLO ST,LH-STREET-XWALK-0281,Terramor
21-55,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Gables 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MERCANTILE WAY (21-55),MERCANTILE WAY,LH-STREET-XWALK-0282,Township
71-93,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Gables 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MERCANTILE WAY (71-93),MERCANTILE WAY,LH-STREET-XWALK-0283,Township
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MERRIAM STREET,MERRIAM ST,LH-STREET-XWALK-0284,Wycliffe
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Clifton Heights 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,MERRILL HILL,MERRILL HILL,LH-STREET-XWALK-0285,Flintridge
2-20 even,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 3,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MERRIWEATHER PLACE (2-20 even),MERRIWEATHER PL,LH-STREET-XWALK-0286,Avendale
5-17 odd,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MERRIWEATHER PLACE (5-17 odd),MERRIWEATHER PL,LH-STREET-XWALK-0287,Avendale
1-36,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Montanez,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MICHAEL ROAD (1-36),MICHAEL RD,LH-STREET-XWALK-0288,Covenant Hills
41-47,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Amarante 2 / Bellataire 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MICHAEL ROAD (41-47),MICHAEL RD,LH-STREET-XWALK-0289,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MILL RIDGE FARM,MILL RIDGE FARM,LH-STREET-XWALK-0290,Wycliffe
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Reston 3,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MINFORD CIRCLE,MINFORD CIR,LH-STREET-XWALK-0291,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MISSION RIDGE ROAD,MISSION RIDGE RD,LH-STREET-XWALK-0292,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Mosaic 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MOCHA LANE,MOCHA LN,LH-STREET-XWALK-0293,Terramor
,C-HOMES,high,Directory reflects 2019 naming and does not establish the historical opening date.,Christopher Homes,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MOLLY LOOP,MOLLY LOOP,LH-STREET-XWALK-0294,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Skye Isle 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,MOONLIGHT ISLE,MOONLIGHT ISLE,LH-STREET-XWALK-0295,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,NASHWATUC WAY,NASHWATUC WAY,LH-STREET-XWALK-0296,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,NATURAL COURT,NATURAL CT,LH-STREET-XWALK-0297,Terramor
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,NEWBURY WAY,NEWBURY WAY,LH-STREET-XWALK-0298,Flintridge
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Belmont Hill 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,NEWKIRK ROAD,NEWKIRK RD,LH-STREET-XWALK-0299,Flintridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Aldenhouse,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,NORFOLK STREET,NORFOLK ST,LH-STREET-XWALK-0300,Township
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Atherton Glen,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,NOTCHBROOK LANE,NOTCHBROOK LN,LH-STREET-XWALK-0301,Echo Ridge
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,OATFIELD FARM,OATFIELD FARM,LH-STREET-XWALK-0302,Wycliffe
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Covenant Hills,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,OBERON ROAD,OBERON RD,LH-STREET-XWALK-0303,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,OLD COACH ROAD,OLD COACH RD,LH-STREET-XWALK-0304,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,OLD CONCORD DRIVE,OLD CONCORD DR,LH-STREET-XWALK-0305,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Gables 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,OLD SPIRE DRIVE,OLD SPIRE DR,LH-STREET-XWALK-0306,Township
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 3,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,OLIVE STREET,OLIVE ST,LH-STREET-XWALK-0307,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Branches,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,ORANGE BLOSSOM CIRCLE,ORANGE BLOSSOM CIR,LH-STREET-XWALK-0308,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,OSTERVILLE STREET,OSTERVILLE ST,LH-STREET-XWALK-0309,Wycliffe
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,OVERLOOK DRIVE,OVERLOOK DR,LH-STREET-XWALK-0310,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PADDOCK PLACE,PADDOCK PL,LH-STREET-XWALK-0311,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,San Donato,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PADRE PLACE,PADRE PL,LH-STREET-XWALK-0312,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sutters Mill,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PALLADIUM LANE,PALLADIUM LN,LH-STREET-XWALK-0313,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Covenant Hills,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PANIOLO ROAD,PANIOLO RD,LH-STREET-XWALK-0314,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Trail Ridge 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PAPETTE CIRCLE,PAPETTE CIR,LH-STREET-XWALK-0315,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PARKER STREET,PARKER ST,LH-STREET-XWALK-0316,Flintridge
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tattershall 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PARLIAMENT PLACE,PARLIAMENT PL,LH-STREET-XWALK-0317,Village 4
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PARTRIDGE WAY,PARTRIDGE WAY,LH-STREET-XWALK-0318,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Branches,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PASSAFLORA LANE,PASSAFLORA LN,LH-STREET-XWALK-0319,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Mosaic 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PATINA LANE,PATINA LN,LH-STREET-XWALK-0320,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Gables 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PAVERSTONE LANE,PAVERSTONE LN,LH-STREET-XWALK-0321,Township
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Reston 3,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PICKERING CIRCLE,PICKERING CIR,LH-STREET-XWALK-0322,Flintridge
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PINE HILL LANE,PINE HILL LN,LH-STREET-XWALK-0323,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PINK TRUMPET STREET,PINK TRUMPET ST,LH-STREET-XWALK-0324,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Capistrano,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PISANO STREET,PISANO ST,LH-STREET-XWALK-0325,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Capistrano,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PISTORIA LANE,PISTORIA LN,LH-STREET-XWALK-0326,Covenant Hills
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sutter's Mill,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PLATINUM CIRCLE,PLATINUM CIR,LH-STREET-XWALK-0327,Terramor
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Fairfield 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PLEASANTON LANE,PLEASANTON LN,LH-STREET-XWALK-0328,Oak Knoll
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 3,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PLUM STREET,PLUM ST,LH-STREET-XWALK-0329,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Bellataire 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,POINTE CIRCLE,POINTE CIR,LH-STREET-XWALK-0330,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 2,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,POMEGRANATE STREET,POMEGRANATE ST,LH-STREET-XWALK-0331,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Las Piedras,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,PORTALON COURT,PORTALON CT,LH-STREET-XWALK-0332,Covenant Hills
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Aldenhouse,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,POST STREET,POST ST,LH-STREET-XWALK-0333,Township
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Potters Bend,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,POTTERS BEND,POTTERS BEND,LH-STREET-XWALK-0334,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sutters Mill,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,QUARTZ LANE,QUARTZ LN,LH-STREET-XWALK-0335,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,QUEENSBERRY DRIVE,QUEENSBERRY DR,LH-STREET-XWALK-0336,Terramor
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sumners Way 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,RANUNCULUS STREET,RANUNCULUS ST,LH-STREET-XWALK-0337,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Branches,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,RED LEAF LANE,RED LEAF LN,LH-STREET-XWALK-0338,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,RED RAIL LANE,RED RAIL LN,LH-STREET-XWALK-0339,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,REESE CREEK,REESE CREEK,LH-STREET-XWALK-0340,Terramor
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tattershall 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,REGENTS PARK,REGENTS PARK,LH-STREET-XWALK-0341,Flintridge
11-42,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Reston 1,LH-SRC-LARMAC-STREETS-2019,PDF page 6,documented_exact,RESTON WAY (11-42),RESTON WAY,LH-STREET-XWALK-0342,Flintridge
1-9,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Reston 2,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,RESTON WAY (1-9),RESTON WAY,LH-STREET-XWALK-0343,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,RICKIE LANE,RICKIE LN,LH-STREET-XWALK-0344,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 2,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,RINEHART ROAD,RINEHART RD,LH-STREET-XWALK-0345,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,St. Mays Road,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,ROSEMARY PLACE,ROSEMARY PL,LH-STREET-XWALK-0346,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sherborne 2,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,ROSHELLE LANE,ROSHELLE LN,LH-STREET-XWALK-0347,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sylvan Oaks,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,ROYCROFT COURT,ROYCROFT CT,LH-STREET-XWALK-0348,Township
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,RUMFORD STREET,RUMFORD ST,LH-STREET-XWALK-0349,Wycliffe
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,RYLESTONE PLACE,RYLESTONE PL,LH-STREET-XWALK-0350,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Branches,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,SABLEWOOD CIRCLE,SABLEWOOD CIR,LH-STREET-XWALK-0351,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Weatherhaven,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,SACHEM WAY,SACHEM WAY,LH-STREET-XWALK-0352,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Castellina SUB,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,SALVATORE,SALVATORE,LH-STREET-XWALK-0353,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arboledo,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,SAM STREET,SAM ST,LH-STREET-XWALK-0354,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,SAN JOSE STREET,SAN JOSE ST,LH-STREET-XWALK-0355,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,SAN JUAN BAUTISTA STREET,SAN JUAN BAUTISTA ST,LH-STREET-XWALK-0356,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,San Donato,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,SAN LUIS OBISPO STREET,SAN LUIS OBISPO ST,LH-STREET-XWALK-0357,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Las Piedras,LH-SRC-LARMAC-STREETS-2019,PDF page 7,documented_exact,SANDALO COURT,SANDALO CT,LH-STREET-XWALK-0358,Covenant Hills
